"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Anthony Lozano,"MF,FW",Getafe,1993.0,6.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.4,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.18,0.25,0.43,0.18,0.43
Anthony Lozano,FW,Almería,1993.0,13.0,10.0,772.0,8.6,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.3,3.3,0.7,4.0,12.0,16.0,24.0,0.35,0.0,0.35,0.35,0.35,0.38,0.08,0.46,0.38,0.46
Lucas,DF,Cádiz,2001.0,28.0,15.0,1539.0,17.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.8,0.8,1.9,2.7,30.0,47.0,65.0,0.06,0.0,0.06,0.06,0.06,0.05,0.11,0.16,0.05,0.16
José Luis Gayà,DF,Valencia,1995.0,24.0,22.0,1791.0,19.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,2.6,3.1,41.0,72.0,97.0,0.05,0.1,0.15,0.05,0.15,0.02,0.13,0.15,0.02,0.15
José Luis Morales,"FW,MF",Villarreal,1987.0,29.0,8.0,1048.0,11.6,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,5.6,5.6,0.6,6.1,29.0,17.0,79.0,0.6,0.0,0.6,0.6,0.6,0.48,0.05,0.52,0.48,0.52
Dodi Lukebakio,"FW,MF",Sevilla,1997.0,23.0,12.0,1125.0,12.5,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,5.6,5.6,0.7,6.2,48.0,26.0,116.0,0.4,0.08,0.48,0.4,0.48,0.45,0.05,0.5,0.45,0.5
Andriy Lunin,GK,Real Madrid,1999.0,21.0,21.0,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Darwin Machís,MF,Cádiz,1993.0,21.0,10.0,785.0,8.7,4.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,1.4,0.6,0.7,1.3,20.0,15.0,54.0,0.46,0.0,0.46,0.34,0.34,0.16,0.08,0.24,0.07,0.15
Pablo Maffeo,DF,Mallorca,1997.0,22.0,17.0,1454.0,16.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.8,0.8,0.9,1.7,38.0,41.0,68.0,0.06,0.12,0.19,0.06,0.19,0.05,0.05,0.1,0.05,0.1
Jon Magunacelaya,"FW,MF",Real Sociedad,2000.0,5.0,1.0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.21,0.34,0.55,0.21,0.55
