"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","('Unnamed: 36_level_0', 'Matches')"
Nedim Bajrami,"MF,FW",Sassuolo,1999.0,28.0,15.0,1310.0,14.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,2.2,4.7,51.0,49.0,70.0,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33,Matches
Mitchel Bakker,DF,Atalanta,2000.0,14.0,3.0,382.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,12.0,10.0,20.0,0.24,0.0,0.24,0.24,0.24,0.05,0.03,0.08,0.05,0.08,Matches
Tommaso Baldanzi,"MF,FW",Empoli,2003.0,14.0,8.0,745.0,8.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.1,2.1,1.0,3.1,20.0,30.0,40.0,0.24,0.0,0.24,0.24,0.24,0.25,0.13,0.38,0.25,0.38,Matches
Tommaso Baldanzi,"FW,MF",Roma,2003.0,13.0,6.0,518.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.7,1.5,18.0,14.0,54.0,0.0,0.0,0.0,0.0,0.0,0.15,0.12,0.27,0.15,0.27,Matches
Lameck Banda,FW,Lecce,2001.0,21.0,17.0,1350.0,15.0,2.0,4.0,6.0,2.0,0.0,0.0,5.0,1.0,3.6,3.6,1.9,5.5,70.0,22.0,136.0,0.13,0.27,0.4,0.13,0.4,0.24,0.13,0.37,0.24,0.37,Matches
Daniel Bandeira,MF,Hellas Verona,2000.0,14.0,3.0,446.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,9.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.01,0.06,Matches
Mattia Bani,DF,Genoa,1993.0,27.0,27.0,2306.0,25.6,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.2,1.2,0.1,1.3,5.0,37.0,4.0,0.08,0.0,0.08,0.08,0.08,0.05,0.0,0.05,0.05,0.05,Matches
Antonín Barák,"MF,FW",Fiorentina,1994.0,21.0,8.0,808.0,9.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,2.2,3.8,17.0,33.0,64.0,0.22,0.33,0.56,0.22,0.56,0.17,0.25,0.42,0.17,0.42,Matches
Nicolò Barella,MF,Inter,1997.0,37.0,34.0,2846.0,31.6,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,5.1,5.1,3.4,8.5,68.0,278.0,144.0,0.06,0.09,0.16,0.06,0.16,0.16,0.11,0.27,0.16,0.27,Matches
Enzo Barrenechea,MF,Frosinone,2001.0,36.0,32.0,2811.0,31.2,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.6,0.6,1.7,2.3,10.0,155.0,24.0,0.0,0.03,0.03,0.0,0.03,0.02,0.05,0.07,0.02,0.07,Matches
