"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Background Information, League)"
Thomas Partey,"MF,DF",Arsenal,1993.0,14.0,9.0,788.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,15.0,72.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,PremierLeague
Nathan Patterson,DF,Everton,2001.0,20.0,9.0,1005.0,11.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.7,2.0,17.0,38.0,39.0,0.0,0.18,0.18,0.0,0.18,0.03,0.15,0.18,0.03,0.18,PremierLeague
Myles Peart-Harris,"DF,MF",Brentford,2002.0,3.0,0.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,PremierLeague
Sydie Peck,MF,Sheffield Utd,2004.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Facundo Pellistri,"FW,MF",Manchester Utd,2001.0,9.0,1.0,172.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,6.0,6.0,31.0,0.0,0.52,0.52,0.0,0.52,0.38,0.05,0.43,0.38,0.43,PremierLeague
Andreas Pereira,MF,Fulham,1996.0,37.0,34.0,2613.0,29.0,3.0,7.0,10.0,3.0,0.0,0.0,6.0,0.0,4.6,4.6,7.1,11.7,56.0,138.0,125.0,0.1,0.24,0.34,0.1,0.34,0.16,0.24,0.4,0.16,0.4,PremierLeague
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PremierLeague
Ivan Perišić,FW,Tottenham,1989.0,5.0,0.0,103.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.9,1.0,15.0,9.0,17.0,0.0,0.87,0.87,0.0,0.87,0.1,0.75,0.85,0.1,0.85,PremierLeague
Đorđe Petrović,GK,Chelsea,1999.0,23.0,22.0,1987.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Kalvin Phillips,MF,West Ham,1995.0,8.0,3.0,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.0,0.1,3.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,PremierLeague
Kalvin Phillips,MF,Manchester City,1995.0,4.0,0.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,PremierLeague
Jaden Philogene Bidace,FW,Aston Villa,2002.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Jordan Pickford,GK,Everton,1994.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Ethan Pinnock,DF,Brentford,1993.0,29.0,28.0,2521.0,28.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,11.0,61.0,16.0,0.07,0.0,0.07,0.07,0.07,0.07,0.04,0.11,0.07,0.11,PremierLeague
Nick Pope,GK,Newcastle Utd,1992.0,15.0,15.0,1345.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Pedro Porro,DF,Tottenham,1999.0,35.0,35.0,3089.0,34.3,3.0,7.0,10.0,3.0,0.0,0.0,3.0,0.0,2.9,2.9,7.2,10.1,57.0,194.0,158.0,0.09,0.2,0.29,0.09,0.29,0.09,0.21,0.3,0.09,0.3,PremierLeague
Jarell Quansah,DF,Liverpool,2003.0,17.0,13.0,1190.0,13.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,1.1,13.0,67.0,1.0,0.15,0.0,0.15,0.15,0.15,0.08,0.01,0.08,0.08,0.08,PremierLeague
Ionuț Radu,GK,Bournemouth,1997.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Jesurun Rak Sakyi,"MF,FW",Crystal Palace,2002.0,6.0,0.0,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,7.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,0.38,0.28,0.38,PremierLeague
Aaron Ramsdale,GK,Arsenal,1998.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Aaron Ramsey,"MF,FW",Burnley,2003.0,14.0,5.0,527.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,8.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,PremierLeague
Jacob Ramsey,"FW,MF",Aston Villa,2001.0,16.0,8.0,853.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.2,2.2,1.0,3.2,33.0,28.0,69.0,0.11,0.11,0.21,0.11,0.21,0.23,0.11,0.34,0.23,0.34,PremierLeague
Marcus Rashford,FW,Manchester Utd,1997.0,33.0,26.0,2271.0,25.2,7.0,2.0,9.0,5.0,2.0,2.0,2.0,0.0,7.3,5.8,2.3,8.1,95.0,65.0,184.0,0.28,0.08,0.36,0.2,0.28,0.29,0.09,0.38,0.23,0.32,PremierLeague
David Raya,GK,Arsenal,1995.0,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Tim Ream,DF,Fulham,1987.0,18.0,17.0,1503.0,16.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,11.0,65.0,3.0,0.06,0.0,0.06,0.06,0.06,0.06,0.0,0.06,0.06,0.06,PremierLeague
Nathan Redmond,"FW,MF",Burnley,1994.0,12.0,0.0,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,7.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,PremierLeague
Harrison Reed,MF,Fulham,1995.0,27.0,15.0,1325.0,14.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,1.1,1.4,10.0,56.0,40.0,0.0,0.14,0.14,0.0,0.14,0.02,0.07,0.09,0.02,0.09,PremierLeague
Sergio Reguilón,DF,Manchester Utd,1996.0,9.0,4.0,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.7,0.9,11.0,27.0,38.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,PremierLeague
Sergio Reguilón,DF,Brentford,1996.0,16.0,14.0,1118.0,12.4,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.8,0.8,2.8,3.6,34.0,38.0,40.0,0.0,0.32,0.32,0.0,0.32,0.06,0.23,0.29,0.06,0.29,PremierLeague
Bobby Reid,FW,Fulham,1993.0,33.0,17.0,1423.0,15.8,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,4.6,4.6,1.8,6.4,35.0,47.0,95.0,0.38,0.13,0.51,0.38,0.51,0.28,0.11,0.4,0.28,0.4,PremierLeague
Gio Reyna,"FW,MF",Nott'ham Forest,2002.0,9.0,2.0,235.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,3.0,12.0,14.0,0.0,0.38,0.38,0.0,0.38,0.11,0.18,0.29,0.11,0.29,PremierLeague
Rodrigo Ribeiro,"MF,FW",Nott'ham Forest,2005.0,4.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PremierLeague
Declan Rice,MF,Arsenal,1999.0,38.0,37.0,3225.0,35.8,7.0,8.0,15.0,7.0,0.0,0.0,5.0,0.0,3.3,3.3,5.3,8.6,75.0,278.0,64.0,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,PremierLeague
Chris Richards,"DF,MF",Crystal Palace,2000.0,26.0,23.0,2094.0,23.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.4,1.0,1.0,43.0,1.0,0.04,0.04,0.09,0.04,0.09,0.03,0.02,0.04,0.03,0.04,PremierLeague
Richarlison,FW,Tottenham,1997.0,28.0,18.0,1491.0,16.6,11.0,4.0,15.0,11.0,0.0,0.0,3.0,0.0,9.6,9.6,2.1,11.7,26.0,38.0,106.0,0.66,0.24,0.91,0.66,0.91,0.58,0.13,0.7,0.58,0.7,PremierLeague
Jaïro Riedewald,"MF,FW",Crystal Palace,1996.0,9.0,2.0,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,PremierLeague
Matt Ritchie,"FW,MF",Newcastle Utd,1989.0,13.0,0.0,128.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,8.0,13.0,0.7,0.0,0.7,0.7,0.7,0.68,0.0,0.68,0.68,0.68,PremierLeague
Connor Roberts,DF,Burnley,1995.0,14.0,8.0,823.0,9.1,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.2,0.2,6.0,38.0,13.0,0.0,0.11,0.11,0.0,0.11,0.0,0.02,0.02,0.0,0.02,PremierLeague
Andrew Robertson,DF,Liverpool,1994.0,23.0,18.0,1693.0,18.8,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,1.9,1.9,5.4,7.3,63.0,140.0,130.0,0.16,0.11,0.27,0.16,0.27,0.1,0.29,0.39,0.1,0.39,PremierLeague
Antonee Robinson,DF,Fulham,1997.0,37.0,37.0,3265.0,36.3,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,4.2,4.8,99.0,129.0,194.0,0.0,0.17,0.17,0.0,0.17,0.02,0.11,0.13,0.02,0.13,PremierLeague
Jack Robinson,DF,Sheffield Utd,1993.0,34.0,31.0,2885.0,32.1,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,1.2,1.2,1.2,2.4,8.0,63.0,14.0,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,PremierLeague
Rodri,MF,Manchester City,1996.0,34.0,34.0,2931.0,32.6,8.0,9.0,17.0,8.0,0.0,0.0,8.0,1.0,4.1,4.1,3.9,8.0,76.0,376.0,55.0,0.25,0.28,0.52,0.25,0.52,0.12,0.12,0.24,0.12,0.24,PremierLeague
Jay Rodriguez,FW,Burnley,1989.0,21.0,7.0,822.0,9.1,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,3.5,2.7,0.2,2.9,2.0,17.0,28.0,0.22,0.11,0.33,0.11,0.22,0.38,0.02,0.4,0.3,0.32,PremierLeague
Mads Roerslev,DF,Brentford,1999.0,34.0,22.0,1985.0,22.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.8,2.7,18.0,43.0,90.0,0.05,0.09,0.14,0.05,0.14,0.04,0.08,0.12,0.04,0.12,PremierLeague
Morgan Rogers,"MF,FW",Aston Villa,2002.0,11.0,8.0,638.0,7.1,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.4,1.4,0.6,2.0,22.0,28.0,30.0,0.42,0.14,0.56,0.42,0.56,0.19,0.09,0.28,0.19,0.28,PremierLeague
Cristian Romero,DF,Tottenham,1998.0,33.0,33.0,2790.0,31.0,5.0,0.0,5.0,5.0,0.0,0.0,7.0,1.0,3.5,3.5,0.4,3.9,32.0,179.0,8.0,0.16,0.0,0.16,0.16,0.16,0.11,0.01,0.13,0.11,0.13,PremierLeague
Joe Rothwell,MF,Bournemouth,1995.0,11.0,3.0,386.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,6.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,PremierLeague
Pelly Ruddock Mpanzu,MF,Luton Town,1993.0,27.0,11.0,1101.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.4,1.1,10.0,34.0,15.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,PremierLeague
José Sá,GK,Wolves,1993.0,35.0,35.0,3037.0,33.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,PremierLeague
Dominic Sadi,FW,Bournemouth,2003.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Bukayo Saka,FW,Arsenal,2001.0,35.0,35.0,2919.0,32.4,16.0,9.0,25.0,10.0,6.0,6.0,4.0,0.0,15.5,10.8,10.5,21.2,155.0,126.0,508.0,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,PremierLeague
Mohamed Salah,FW,Liverpool,1992.0,32.0,28.0,2534.0,28.2,18.0,10.0,28.0,13.0,5.0,7.0,2.0,0.0,21.2,15.5,11.8,27.3,98.0,147.0,341.0,0.64,0.36,0.99,0.46,0.82,0.75,0.42,1.17,0.55,0.97,PremierLeague
William Saliba,DF,Arsenal,2001.0,38.0,38.0,3420.0,38.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,0.2,1.8,16.0,157.0,6.0,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05,PremierLeague
Albert Sambi Lokonga,MF,Luton Town,1999.0,17.0,16.0,1303.0,14.5,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.4,2.0,29.0,72.0,13.0,0.07,0.21,0.28,0.07,0.28,0.04,0.1,0.14,0.04,0.14,PremierLeague
Davinson Sánchez,DF,Tottenham,1996.0,1.0,0.0,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,PremierLeague
Robert Sánchez,GK,Chelsea,1997.0,16.0,16.0,1433.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Jadon Sancho,"FW,MF",Manchester Utd,2000.0,3.0,0.0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,PremierLeague
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PremierLeague
Ibrahim Sangaré,MF,Nott'ham Forest,1997.0,17.0,13.0,1035.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.4,1.0,5.0,44.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,PremierLeague
Andrey Santos,MF,Nott'ham Forest,2004.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.64,PremierLeague
Pablo Sarabia,"MF,FW",Wolves,1992.0,30.0,20.0,1745.0,19.4,4.0,7.0,11.0,2.0,2.0,2.0,5.0,0.0,5.5,3.9,5.9,9.8,41.0,109.0,137.0,0.21,0.36,0.57,0.1,0.46,0.28,0.3,0.59,0.2,0.5,PremierLeague
Dane Scarlett,FW,Tottenham,2004.0,4.0,0.0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Kevin Schade,"FW,MF",Brentford,2001.0,11.0,3.0,333.0,3.7,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,1.9,8.0,9.0,23.0,0.54,0.27,0.81,0.54,0.81,0.32,0.19,0.52,0.32,0.52,PremierLeague
Fabian Schär,DF,Newcastle Utd,1991.0,36.0,35.0,3054.0,33.9,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,2.5,2.5,0.7,3.3,28.0,133.0,20.0,0.12,0.03,0.15,0.12,0.15,0.07,0.02,0.1,0.07,0.1,PremierLeague
Jeffrey Schlupp,"FW,MF",Crystal Palace,1992.0,29.0,17.0,1352.0,15.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,2.3,4.1,20.0,33.0,52.0,0.13,0.13,0.27,0.13,0.27,0.12,0.15,0.27,0.12,0.27,PremierLeague
Alex Scott,MF,Bournemouth,2003.0,23.0,11.0,1014.0,11.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,1.7,2.4,24.0,50.0,35.0,0.09,0.09,0.18,0.09,0.18,0.06,0.15,0.22,0.06,0.22,PremierLeague
Matz Sels,GK,Nott'ham Forest,1992.0,16.0,16.0,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Nélson Semedo,"DF,MF",Wolves,1993.0,36.0,36.0,3084.0,34.3,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,1.3,1.3,1.7,3.0,103.0,138.0,150.0,0.0,0.03,0.03,0.0,0.03,0.04,0.05,0.09,0.04,0.09,PremierLeague
Antoine Semenyo,FW,Bournemouth,2000.0,33.0,25.0,2105.0,23.4,8.0,2.0,10.0,8.0,0.0,0.0,6.0,0.0,4.6,4.6,3.2,7.8,89.0,64.0,188.0,0.34,0.09,0.43,0.34,0.43,0.2,0.14,0.34,0.2,0.34,PremierLeague
Marcos Senesi,DF,Bournemouth,1997.0,31.0,26.0,2242.0,24.9,4.0,5.0,9.0,4.0,0.0,0.0,13.0,0.0,2.0,2.0,1.7,3.7,31.0,127.0,4.0,0.16,0.2,0.36,0.16,0.36,0.08,0.07,0.15,0.08,0.15,PremierLeague
Luke Shaw,DF,Manchester Utd,1995.0,12.0,12.0,959.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,10.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.0,0.1,PremierLeague
James Shea,GK,Luton Town,1991.0,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Bernardo Silva,"MF,FW",Manchester City,1994.0,33.0,29.0,2578.0,28.6,6.0,9.0,15.0,6.0,0.0,0.0,8.0,0.0,3.7,3.7,7.6,11.3,140.0,177.0,260.0,0.21,0.31,0.52,0.21,0.52,0.13,0.27,0.4,0.13,0.4,PremierLeague
Fábio Silva,FW,Wolves,2002.0,8.0,3.0,264.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.2,5.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.35,0.07,0.42,0.35,0.42,PremierLeague
Thiago Silva,DF,Chelsea,1984.0,31.0,28.0,2527.0,28.1,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.8,0.8,1.0,1.8,2.0,102.0,5.0,0.11,0.04,0.14,0.11,0.14,0.03,0.04,0.06,0.03,0.06,PremierLeague
Luis Sinisterra,"FW,MF",Bournemouth,1999.0,20.0,7.0,699.0,7.8,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,2.4,5.0,51.0,38.0,85.0,0.26,0.26,0.52,0.26,0.52,0.33,0.31,0.64,0.33,0.64,PremierLeague
Oliver Skipp,"MF,DF",Tottenham,2000.0,21.0,5.0,707.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.6,1.3,8.0,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.16,0.09,0.16,PremierLeague
Adam Smith,DF,Bournemouth,1991.0,28.0,25.0,2150.0,23.9,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,1.3,1.4,24.0,89.0,28.0,0.0,0.08,0.08,0.0,0.08,0.0,0.05,0.06,0.0,0.06,PremierLeague
Emile Smith Rowe,MF,Arsenal,2000.0,13.0,3.0,353.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,2.2,11.0,23.0,18.0,0.0,0.25,0.25,0.0,0.25,0.5,0.06,0.56,0.5,0.56,PremierLeague
Cédric Soares,DF,Arsenal,1991.0,3.0,0.0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Dominic Solanke,FW,Bournemouth,1997.0,38.0,37.0,3325.0,36.9,19.0,3.0,22.0,17.0,2.0,3.0,3.0,0.0,19.6,17.2,3.0,20.3,52.0,60.0,184.0,0.51,0.08,0.6,0.46,0.54,0.53,0.08,0.61,0.47,0.55,PremierLeague
Manor Solomon,FW,Tottenham,1999.0,5.0,2.0,199.0,2.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.8,1.2,17.0,11.0,44.0,0.0,0.9,0.9,0.0,0.9,0.19,0.38,0.56,0.19,0.56,PremierLeague
Tomáš Souček,MF,West Ham,1995.0,37.0,34.0,2870.0,31.9,7.0,2.0,9.0,7.0,0.0,0.0,7.0,0.0,6.7,6.7,1.7,8.4,7.0,86.0,39.0,0.22,0.06,0.28,0.22,0.28,0.21,0.05,0.26,0.21,0.26,PremierLeague
Player,Pos,Squad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PremierLeague
Vinicius Souza,MF,Sheffield Utd,1999.0,36.0,29.0,2668.0,29.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.2,0.8,7.0,66.0,21.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,PremierLeague
Jason Steele,GK,Brighton,1990.0,17.0,17.0,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Raheem Sterling,"FW,MF",Chelsea,1994.0,31.0,22.0,1978.0,22.0,8.0,4.0,12.0,8.0,0.0,0.0,7.0,0.0,6.5,6.5,4.5,11.0,120.0,78.0,242.0,0.36,0.18,0.55,0.36,0.55,0.29,0.2,0.5,0.29,0.5,PremierLeague
John Stones,"DF,MF",Manchester City,1994.0,16.0,12.0,1064.0,11.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.3,16.0,57.0,24.0,0.08,0.0,0.08,0.08,0.08,0.09,0.02,0.11,0.09,0.11,PremierLeague
Thomas Strakosha,GK,Brentford,1995.0,2.0,1.0,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
Dominik Szoboszlai,MF,Liverpool,2000.0,33.0,25.0,2104.0,23.4,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,3.7,3.7,5.8,9.5,75.0,152.0,160.0,0.13,0.09,0.21,0.13,0.21,0.16,0.25,0.4,0.16,0.4,PremierLeague
Matt Targett,DF,Newcastle Utd,1995.0,3.0,1.0,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,PremierLeague
James Tarkowski,DF,Everton,1992.0,38.0,38.0,3419.0,38.0,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,2.6,2.6,2.5,5.1,15.0,130.0,20.0,0.03,0.03,0.05,0.03,0.05,0.07,0.06,0.13,0.07,0.13,PremierLeague
Jimi Tauriainen,FW,Chelsea,2004.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PremierLeague
