"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Morgan Sanson,MF,Nice,1994.0,29.0,24.0,1964.0,21.8,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,3.3,3.3,4.0,7.3,57.0,75.0,98.0,0.09,0.14,0.23,0.09,0.23,0.15,0.18,0.33,0.15,0.33
Baptiste Santamaria,MF,Rennes,1995.0,30.0,22.0,1926.0,21.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.9,1.9,0.6,2.5,13.0,134.0,36.0,0.0,0.05,0.05,0.0,0.05,0.09,0.03,0.12,0.09,0.12
Andrey Santos,MF,Strasbourg,2004.0,11.0,9.0,831.0,9.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,5.0,48.0,15.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.21,0.11,0.21
Tiago santos,DF,Lille,2002.0,29.0,26.0,2365.0,26.3,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.4,1.4,2.3,3.6,89.0,105.0,137.0,0.04,0.08,0.11,0.04,0.11,0.05,0.09,0.14,0.05,0.14
Amin Sarr,"FW,MF",Lyon,2001.0,3.0,1.0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.31,0.14,0.45,0.31,0.45
Ismaila Sarr,"FW,MF",Marseille,1998.0,23.0,15.0,1447.0,16.1,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,3.2,3.2,2.5,5.7,49.0,36.0,152.0,0.19,0.25,0.44,0.19,0.44,0.2,0.15,0.35,0.2,0.35
Mamadou Sarr,DF,Lyon,2005.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Satriano,FW,Brest,2001.0,33.0,21.0,1864.0,20.7,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,6.1,6.1,2.9,9.0,28.0,37.0,121.0,0.19,0.19,0.39,0.19,0.39,0.29,0.14,0.43,0.29,0.43
Téji Savanier,MF,Montpellier,1991.0,32.0,32.0,2765.0,30.7,9.0,6.0,15.0,2.0,7.0,7.0,8.0,1.0,9.1,3.6,6.9,10.5,39.0,224.0,108.0,0.29,0.2,0.49,0.07,0.26,0.29,0.22,0.52,0.12,0.34
Niklas Schmidt,MF,Toulouse,1998.0,22.0,15.0,1269.0,14.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.2,1.2,2.4,3.6,20.0,106.0,43.0,0.07,0.07,0.14,0.07,0.14,0.09,0.17,0.26,0.09,0.26
Jérémy Sebas,"FW,MF",Strasbourg,2003.0,14.0,2.0,399.0,4.4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,6.0,39.0,0.45,0.0,0.45,0.45,0.45,0.21,0.01,0.22,0.21,0.22
Alidu Seidu,DF,Rennes,2000.0,11.0,7.0,593.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,14.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Alidu Seidu,DF,Clermont Foot,2000.0,14.0,13.0,1131.0,12.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.7,0.7,16.0,33.0,3.0,0.0,0.08,0.08,0.0,0.08,0.01,0.05,0.06,0.01,0.06
Matz Sels,GK,Strasbourg,1992.0,19.0,19.0,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Marvin Senaya,"DF,MF",Strasbourg,2001.0,32.0,23.0,2138.0,23.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,1.2,1.2,2.8,4.0,48.0,74.0,81.0,0.04,0.04,0.08,0.04,0.08,0.05,0.12,0.17,0.05,0.17
Sofiane Sidi Ali,MF,Marseille,1995.0,2.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
Vincent Sierro,MF,Toulouse,1995.0,30.0,25.0,2261.0,25.1,6.0,2.0,8.0,2.0,4.0,5.0,8.0,0.0,5.9,1.9,2.3,4.2,17.0,135.0,73.0,0.24,0.08,0.32,0.08,0.16,0.23,0.09,0.33,0.08,0.17
Caio Henrique Oliveira Silva,DF,Monaco,1997.0,9.0,7.0,623.0,6.9,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.3,1.5,16.0,33.0,54.0,0.0,0.72,0.72,0.0,0.72,0.03,0.18,0.22,0.03,0.22
Moses Simon,"FW,MF",Nantes,1995.0,22.0,21.0,1788.0,19.9,3.0,5.0,8.0,2.0,1.0,1.0,0.0,0.0,4.1,3.3,3.7,7.0,146.0,36.0,214.0,0.15,0.25,0.4,0.1,0.35,0.21,0.18,0.39,0.17,0.35
