"(Background Information, Full Name)","(Background Information, Nation)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Background Information, League)"
Gabriele Zappa,it ITA,DF,Cagliari,23,1999.0,38.0,25.0,2561.0,28.5,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,3.3,4.8,35.0,99.0,84.0,0.04,0.11,0.14,0.04,0.14,0.05,0.12,0.17,0.05,0.17,Serie A
Davide Zappacosta,it ITA,DF,Atalanta,31,1992.0,31.0,23.0,1867.0,20.7,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.2,2.2,1.4,3.7,67.0,78.0,132.0,0.1,0.05,0.14,0.1,0.14,0.11,0.07,0.18,0.11,0.18,Serie A
Oier Zarraga,es ESP,MF,Udinese,24,1999.0,15.0,4.0,404.0,4.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,5.0,8.0,10.0,0.45,0.0,0.45,0.45,0.45,0.13,0.01,0.14,0.13,0.14,Serie A
Jordan Zemura,zw ZIM,DF,Udinese,23,1999.0,27.0,10.0,1038.0,11.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.4,1.2,23.0,32.0,52.0,0.09,0.0,0.09,0.09,0.09,0.07,0.03,0.1,0.07,0.1,Serie A
Alessio Zerbin,it ITA,"DF,FW",Monza,24,1999.0,13.0,7.0,684.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,0.8,1.2,17.0,20.0,46.0,0.0,0.13,0.13,0.0,0.13,0.05,0.11,0.16,0.05,0.16,Serie A
Alessio Zerbin,it ITA,"FW,DF",Napoli,24,1999.0,7.0,1.0,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.9,6.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.15,0.37,0.52,0.15,0.52,Serie A
Kevin Zeroli,it ITA,MF,Milan,18,2005.0,3.0,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A
Piotr Zieliński,pl POL,MF,Napoli,29,1994.0,28.0,23.0,1924.0,21.4,3.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,2.6,1.8,3.4,5.2,38.0,131.0,88.0,0.14,0.09,0.23,0.09,0.19,0.12,0.16,0.28,0.08,0.24,Serie A
David Zima,cz CZE,DF,Torino,22,2000.0,5.0,0.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Serie A
Joshua Zirkzee,nl NED,FW,Bologna,22,2001.0,34.0,32.0,2759.0,30.7,11.0,4.0,15.0,9.0,2.0,2.0,8.0,0.0,9.0,7.4,5.2,12.6,53.0,86.0,182.0,0.36,0.13,0.49,0.29,0.42,0.29,0.17,0.46,0.24,0.41,Serie A
Nadir Zortea,it ITA,DF,Frosinone,24,1999.0,14.0,14.0,1258.0,14.0,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,2.8,3.3,31.0,42.0,71.0,0.07,0.36,0.43,0.07,0.43,0.03,0.2,0.23,0.03,0.23,Serie A
Nadir Zortea,it ITA,DF,Atalanta,24,1999.0,5.0,0.0,149.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,7.0,10.0,22.0,0.6,0.0,0.6,0.6,0.6,0.05,0.16,0.21,0.05,0.21,Serie A
Szymon Żurkowski,pl POL,MF,Empoli,25,1997.0,13.0,10.0,868.0,9.6,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,0.1,1.1,17.0,20.0,37.0,0.41,0.0,0.41,0.41,0.41,0.1,0.01,0.11,0.1,0.11,Serie A
Milan Đurić,ba BIH,FW,Hellas Verona,33,1990.0,20.0,13.0,1204.0,13.4,5.0,1.0,6.0,4.0,1.0,3.0,2.0,0.0,4.5,2.2,1.2,3.4,3.0,15.0,33.0,0.37,0.07,0.45,0.3,0.37,0.34,0.09,0.43,0.16,0.25,Serie A
Milan Đurić,ba BIH,FW,Monza,33,1990.0,17.0,13.0,1257.0,14.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,0.7,3.7,2.0,8.0,31.0,0.29,0.07,0.36,0.29,0.36,0.21,0.05,0.26,0.21,0.26,Serie A
Mateusz Łęgowski,pl POL,MF,Salernitana,20,2003.0,29.0,10.0,1145.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.2,0.5,16.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Serie A
