Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Market Value, Euro)","(Peak Market Value, Euro)"
Olivier Giroud (Reference),Milan,Serie A,FW,fr FRA,36,1986,35,28,2363,26.3,15,8,23,11,4,5,1,1,14.2,10.2,4.7,14.9,9,28,95,0.57,0.3,0.88,0.42,0.72,0.54,0.18,0.72,0.39,0.57,"3,000,000€","27,000,000€"
Niclas Füllkrug,Werder Bremen,Bundesliga,FW,de GER,30,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,2,9,12,0.0,0.0,0.0,0.0,0.0,0.23,0.13,0.36,0.23,0.36,"15,000,000€","15,000,000€"
Antoine Griezmann,Atlético Madrid,La Liga,"FW,MF",fr FRA,32,1991,33,31,2644,29.4,16,6,22,12,4,4,5,0,12.3,9.3,5.6,14.9,43,118,196,0.54,0.2,0.75,0.41,0.61,0.42,0.19,0.61,0.32,0.51,"25,000,000€","150,000,000€"
Victor Osimhen,Napoli,Serie A,FW,ng NGA,24,1998,25,22,1982,22.0,15,3,18,12,3,5,6,1,15.4,11.4,3.1,14.6,34,23,142,0.68,0.14,0.82,0.54,0.68,0.7,0.14,0.84,0.52,0.66,"100,000,000€","120,000,000€"
Tobias Lauritsen,Sparta R'dam,Eredivisie,FW,no NOR,25,1997,31,29,2485,27.6,12,9,21,9,3,3,2,0,12.9,10.6,3.8,14.3,14,75,147,0.43,0.33,0.76,0.33,0.65,0.47,0.14,0.6,0.38,0.52,"5,000,000€","5,000,000€"
Tobias Lauritsen,Sparta R'dam,Eredivisie,FW,no NOR,25,1997,31,29,2485,27.6,12,9,21,9,3,3,2,0,12.9,10.6,3.8,14.3,14,75,147,0.43,0.33,0.76,0.33,0.65,0.47,0.14,0.6,0.38,0.52,"5,000,000€","5,000,000€"
