Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Market Value, Euro)","(Peak Market Value, Euro)"
Yacine Adli (Reference),Milan,Serie A,MF,fr FRA,23,2000,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.3,0.3,2.2,2.5,30,125,26,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,"15,000,000€","15,000,000€"
Mathijs Tielemans,Vitesse,Eredivisie,MF,nl NED,21,2002,25,18,1673,18.6,1,1,2,1,0,0,3,0,0.6,0.6,1.7,2.3,27,89,29,0.05,0.05,0.11,0.05,0.11,0.03,0.09,0.13,0.03,0.13,"800,000€","1,200,000€"
Enzo Le Fée,Rennes,Ligue 1,MF,fr FRA,23,2000,25,19,1527,17.0,0,1,1,0,0,0,3,0,0.5,0.5,1.8,2.3,45,124,58,0.0,0.06,0.06,0.0,0.06,0.03,0.11,0.14,0.03,0.14,"18,000,000€","20,000,000€"
Niklas Schmidt,Toulouse,Ligue 1,MF,de GER,25,1998,22,15,1269,14.1,1,1,2,1,0,0,4,0,1.2,1.2,2.4,3.6,20,106,43,0.07,0.07,0.14,0.07,0.14,0.09,0.17,0.26,0.09,0.26,"3,000,000€","3,000,000€"
Manu Morlanes,Mallorca,La Liga,MF,es ESP,24,1999,35,16,1615,17.9,0,2,2,0,0,0,2,0,1.0,1.0,2.0,3.0,29,104,31,0.0,0.11,0.11,0.0,0.11,0.06,0.11,0.17,0.06,0.17,"2,500,000€","5,000,000€"
Kenzo Goudmijn,AZ Alkmaar,Eredivisie,MF,nl NED,21,2001,8,1,245,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,6,23,3,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,"1,800,000€","1,800,000€"
