Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Market Value, Euro)","(Peak Market Value, Euro)"
Theo Hernández (Reference),Milan,Serie A,DF,fr FRA,25,1997,32,31,2791,31.0,5,4,9,4,1,2,11,1,4.9,3.4,4.3,7.7,115,166,124,0.16,0.13,0.29,0.13,0.26,0.16,0.14,0.3,0.11,0.25,"60,000,000€","60,000,000€"
Alexis Mac Allister,Liverpool,Premier League,MF,ar ARG,24,1998,33,31,2599,28.9,5,5,10,4,1,1,7,1,3.7,2.9,3.6,6.4,44,209,48,0.17,0.17,0.35,0.14,0.31,0.13,0.12,0.25,0.1,0.22,"75,000,000€","75,000,000€"
John McGinn,Aston Villa,Premier League,"MF,FW",sct SCO,28,1994,35,35,2999,33.3,6,4,10,6,0,0,9,1,5.0,5.0,4.6,9.6,59,189,84,0.18,0.12,0.3,0.18,0.3,0.15,0.14,0.29,0.15,0.29,"30,000,000€","32,000,000€"
Conor Gallagher,Chelsea,Premier League,MF,eng ENG,23,2000,37,37,3128,34.8,5,7,12,5,0,0,9,1,4.2,4.2,5.0,9.2,62,172,122,0.14,0.2,0.35,0.14,0.35,0.12,0.15,0.27,0.12,0.27,"50,000,000€","50,000,000€"
Lucas Ocampos,Sevilla,La Liga,"FW,MF",ar ARG,29,1994,35,34,2871,31.9,4,3,7,3,1,1,8,0,5.4,4.6,4.5,9.1,117,124,265,0.13,0.09,0.22,0.09,0.19,0.17,0.14,0.31,0.14,0.29,"12,000,000€","50,000,000€"
Destiny Udogie,Tottenham,Premier League,DF,it ITA,20,2002,28,28,2391,26.6,2,3,5,2,0,0,7,1,2.4,2.4,2.2,4.6,83,155,138,0.08,0.11,0.19,0.08,0.19,0.09,0.08,0.17,0.09,0.17,"45,000,000€","45,000,000€"
