Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Market Value, Euro)","(Peak Market Value, Euro)"
Francesco Acerbi (Reference),Inter,Serie A,DF,it ITA,35,1988,29,26,2388,26.5,3,1,4,3,0,0,1,0,1.6,1.6,1.8,3.4,21,87,24,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,"3,500,000€","15,000,000€"
Matteo Darmian,Inter,Serie A,DF,it ITA,33,1989,33,27,2404,26.7,2,1,3,2,0,0,2,0,1.2,1.2,1.8,3.0,18,72,82,0.07,0.04,0.11,0.07,0.11,0.04,0.07,0.11,0.04,0.11,"4,000,000€","15,000,000€"
Bart Vriends,Sparta R'dam,Eredivisie,DF,nl NED,32,1991,26,26,2205,24.5,2,1,3,2,0,0,3,0,2.0,2.0,0.8,2.8,11,112,4,0.08,0.04,0.12,0.08,0.12,0.08,0.03,0.11,0.08,0.11,"400,000€","550,000€"
Ethan Pinnock,Brentford,Premier League,DF,jm JAM,30,1993,29,28,2521,28.0,2,0,2,2,0,0,1,0,2.0,2.0,1.0,3.0,11,61,16,0.07,0.0,0.07,0.07,0.07,0.07,0.04,0.11,0.07,0.11,"12,000,000€","15,000,000€"
Chancel Mbemba,Marseille,Ligue 1,DF,cd COD,28,1994,25,25,2207,24.5,2,2,4,2,0,0,1,0,1.8,1.8,1.0,2.8,16,131,10,0.08,0.08,0.16,0.08,0.16,0.07,0.04,0.12,0.07,0.12,"15,000,000€","20,000,000€"
Thiago Silva,Chelsea,Premier League,DF,br BRA,38,1984,31,28,2527,28.1,3,1,4,3,0,0,4,0,0.8,0.8,1.0,1.8,2,102,5,0.11,0.04,0.14,0.11,0.14,0.03,0.04,0.06,0.03,0.06,"1,000,000€","40,000,000€"
