Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Moussa Diaby,Aston Villa,Premier League,"FW,MF",fr FRA,24,1999,38,25,2174,24.2,6,8,14,6,0,0,1,0,7.0,7.0,6.6,13.6,94,72,183,0.25,0.33,0.58,0.25,0.58,0.29,0.27,0.56,0.29,0.56
Daan Rots,Twente,Eredivisie,FW,nl NED,22,2001,33,33,2573,28.6,7,10,17,7,0,0,3,0,4.6,4.6,5.4,10.0,84,173,318,0.24,0.35,0.59,0.24,0.59,0.16,0.19,0.35,0.16,0.35
Raheem Sterling,Chelsea,Premier League,"FW,MF",eng ENG,28,1994,31,22,1978,22.0,8,4,12,8,0,0,7,0,6.5,6.5,4.5,11.0,120,78,242,0.36,0.18,0.55,0.36,0.55,0.29,0.2,0.5,0.29,0.5
Johan Bakayoko,PSV Eindhoven,Eredivisie,FW,be BEL,20,2003,33,29,2493,27.7,12,9,21,12,0,0,1,0,8.7,8.7,8.0,16.7,197,97,434,0.43,0.32,0.76,0.43,0.76,0.31,0.29,0.6,0.31,0.6
Igor Paixão,Feyenoord,Eredivisie,FW,br BRA,23,2000,31,25,1924,21.4,9,3,12,9,0,0,3,0,7.5,7.5,6.3,13.8,84,57,250,0.42,0.14,0.56,0.42,0.56,0.35,0.29,0.64,0.35,0.64
Yankuba Minteh,Feyenoord,Eredivisie,FW,gm GAM,19,2004,27,17,1456,16.2,10,5,15,10,0,0,0,0,9.8,9.8,4.3,14.1,127,40,264,0.62,0.31,0.93,0.62,0.93,0.6,0.27,0.87,0.6,0.87
Alejandro Garnacho,Manchester Utd,Premier League,FW,ar ARG,19,2004,36,30,2565,28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,178,62,281,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47
Florian Wirtz,Leverkusen,Bundesliga,MF,de GER,20,2003,32,26,2372,26.4,11,11,22,10,1,1,3,0,8.9,8.2,7.5,15.7,138,224,306,0.42,0.42,0.83,0.38,0.8,0.34,0.29,0.62,0.31,0.6
Takumi Minamino,Monaco,Ligue 1,MF,jp JPN,28,1995,30,25,2117,23.5,9,6,15,9,0,0,4,0,5.9,5.9,4.9,10.8,48,97,198,0.38,0.26,0.64,0.38,0.64,0.25,0.21,0.46,0.25,0.46
Matheus Cunha,Wolves,Premier League,"FW,MF",br BRA,24,1999,32,29,2440,27.1,12,7,19,11,1,1,9,0,9.5,8.7,3.2,11.9,107,87,139,0.44,0.26,0.7,0.41,0.66,0.35,0.12,0.47,0.32,0.44
Andrea Colpani,Monza,Serie A,"MF,FW",it ITA,24,1999,38,36,2657,29.5,8,4,12,8,0,0,1,0,4.8,4.8,5.0,9.8,90,120,193,0.27,0.14,0.41,0.27,0.41,0.16,0.17,0.33,0.16,0.33
Anthony Elanga,Nott'ham Forest,Premier League,"FW,MF",se SWE,21,2002,36,25,2433,27.0,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,98,49,196,0.18,0.33,0.52,0.18,0.52,0.24,0.25,0.49,0.24,0.49
Gabriel Martinelli,Arsenal,Premier League,FW,br BRA,22,2001,35,24,2019,22.4,6,4,10,6,0,0,1,0,6.8,6.8,6.1,12.9,127,65,345,0.27,0.18,0.45,0.27,0.45,0.31,0.27,0.58,0.31,0.58
